P(Gpa),T©,Fe2O3 value,converted,FeO value,SiO2 value,TiO2 value,Al2O3 value,Feo total,MnO value,MgO value,CaO value,Na2O value,K2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value,H2O value
0.300000012,825,,0,14.05000019,47.24000168,1.580000043,11.73999977,14.05000019,0.25,11.10999966,10.11999989,1.690000057,0.819999993,64.88999939,0.239999995,14.35999966,2,0.029999999,0.400000006,2.890000105,3.170000076,2.539999962,
0.300000012,825,,0,15.25,50.11000061,1.710000038,9.420000076,15.25,0.230000004,11.64999962,9.840000153,1.419999957,0.810000002,70.86000061,0.219999999,12.36999989,1.49000001,0.029999999,0.270000011,1.789999962,3.049999952,3.75,
0.300000012,825,,0,14.25,47.81000137,1.559999943,11.18999958,14.25,0.270000011,12.30000019,10.03999996,1.639999986,0.769999981,70.62000275,0.25,12.68999958,1.480000019,0.050000001,0.280000001,2.069999933,3.039999962,3.75999999,
0.300000012,800,,0,16.77000046,45.40999985,1.370000005,10.97000027,16.77000046,0.319999993,11.60000038,10.14000034,1.610000014,0.569999993,67.20999908,0.209999993,13.81999969,1.710000038,0.059999999,0.330000013,2.440000057,3.25999999,2.789999962,
0.300000012,800,,0,17.62999916,47.97000122,1.730000019,8.359999657,17.62999916,0.270000011,12.10000038,9.43999958,1.289999962,0.589999974,71.29000092,0.219999999,11.96000004,1.350000024,0.039999999,0.280000001,1.629999995,2.809999943,3.799999952,
0.300000012,850,,0,13.59000015,45.43000031,1.899999976,11.42000008,13.59000015,0.230000004,12.64000034,10.97000027,1.809999943,0.709999979,63.56999969,0.319999993,14.68000031,2.180000067,0.07,0.400000006,3.230000019,3.269999981,2.390000105,
0.300000012,775,,0,16.75,45.75999832,1.559999943,12.22999954,16.75,0.330000013,10.60999966,10.42000008,1.610000014,0.74000001,67.37999725,0.150000006,13.27999973,1.25,0.039999999,0.219999999,2.400000095,2.589999914,2.609999895,
0.300000012,775,,0,13.81000042,53.68000031,0.980000019,10.77000046,13.81000042,0.280000001,9.649999619,8.199999809,1.370000005,0.709999979,68.01000214,0.180000007,12.76000023,1.289999962,0.029999999,0.230000004,2.049999952,2.75,3.00999999,
0.200000003,850,,0,14.72999954,45.20000076,1.929999948,11.02999973,14.72999954,0.25999999,12.89999962,10.67000008,1.710000038,1.029999971,67.34999847,0.289999992,18.52000046,2.329999924,0.059999999,0.430000007,2.839999914,3.569999933,2.880000114,
0.300000012,875,,0,8.840000153,45.27000046,1.450000048,10.42000008,8.840000153,0.170000002,16.51000023,11.89999962,1.720000029,1.169999957,63.61999893,0.360000014,19.45000076,1.909999967,0.07,0.879999995,4.130000114,3.339999914,2.49000001,
0.300000012,875,,0,9.920000076,46.66999817,1.580000043,10.40999985,9.920000076,0.25,16.07999992,10.98999977,1.74000001,1.090000033,68.55999756,0.340000004,17.90999985,1.769999981,0.050000001,0.720000029,2.809999943,3.480000019,2.960000038,
0.200000003,800,,0,15.23999977,45.47000122,1.769999981,11.57999992,15.23999977,0.270000011,11.77000046,10.46000004,1.620000005,0.569999993,70.31999969,0.230000004,13.34000015,1.799999952,0.039999999,0.319999993,2.049999952,3.059999943,3.140000105,
