P(Gpa),T (C),FeO total,SiO2 value,TiO2 value,Al2O3 value,Cr2O3 value,MnO value,MgO value,CaO value,Na2O value,SiO2 value,TiO2 value,Al2O3 value,FeO value,MnO value,MgO value,CaO value,Na2O value,K2O value
2.799999952,1550,9.399999619,40.70000076,0.469999999,22.5,1.059999943,0.170000002,19.89999962,4.380000114,,44.20000076,1.690000057,11.60000038,14.39999962,0.109999999,13.19999981,6.880000114,4.239999771,0.629999995
3,1200,15.53999996,39.56000137,0.699999988,21.84000015,0.039999999,0.389999986,10.60999966,9.600000381,0.170000002,68.48000336,1.539999962,15.01000023,2.230000019,0.029999999,0.689999998,2.369999886,2.369999886,2.730000019
5,1400,16.53000069,40.79000092,1.460000038,21.13999939,,0.400000006,11.43000031,7.960000038,0.379999995,67.05999756,3.349999905,14.63000011,2.25999999,0.01,0.75,1.470000029,0.75999999,2.710000038
3,1500,8.779999733,42.04000092,0.709999979,22.20999908,0.5,,20.47999954,4.760000229,0.529999971,43.04000092,3.319999933,15.44999981,11.5,,14.26000023,7.820000172,3.680000067,0.870000005
3,1525,7.139999866,42.88000107,0.409999996,22.70999908,0.529999971,,22.07999992,4.260000229,,45.97999954,1.649999976,12.27000046,10.56999969,,17.65999985,8.819999695,2.549999952,0.389999986
3,1500,8.449999809,42.31999969,0.709999979,22.45999908,0.360000014,,21.07999992,4.630000114,,43.31999969,2.940000057,14.88000011,11.53999996,,14.98999977,6.639999866,4.840000153,0.800000012
3,1525,7.960000038,42.13000107,1.00999999,22.40999985,0.479999989,,21,4.96999979,0.039999999,46.63000107,1.970000029,12.68000031,10.5,,15.56999969,9.399999619,2.75,0.419999987
2.799999952,1573,5.650000095,41.70000076,0.150000006,23.20000076,1.5,0.059999999,23.10000038,3.99000001,0.039999999,45.29999924,0.670000017,12.39999962,10.10000038,0.039999999,17.89999962,8.640000343,1.929999948,0.270000011
2.799999952,1565,8.180000305,42.70000076,0.680000007,23.29999924,1.149999976,0.219999999,21.39999962,3.819999933,,46,1.389999986,12.80000019,12.5,0.219999999,14.80000019,6.829999924,3.940000057,0.5
2.799999952,1495,19,42.20000076,0.730000019,23,0.730000019,0.140000001,10.89999962,4.550000191,,44.40000153,2.079999924,11.89999962,15.5,0.100000001,12.5,6.610000134,4.590000153,0.829999983
2.799999952,1545,20.89999962,42.09999847,0.779999971,23.29999924,0.930000007,0.170000002,7.96999979,4.590000153,0.029999999,45.40000153,2.089999914,12.39999962,12.60000038,0.119999997,15,7.309999943,3.039999962,0.889999986
2.799999952,1540,7.429999828,42,0.569999993,22.39999962,1.129999995,0.140000001,21.29999924,4.139999866,0.039999999,45.5,1.649999976,12.5,11.60000038,0.100000001,15.69999981,7.380000114,2.950000048,0.610000014
2.799999952,1510,8.270000458,42.20000076,0.5,22.5,1.299999952,0.200000003,21.79999924,3.369999886,0.059999999,46.20000076,1.470000029,12.19999981,11.5,0.170000002,14.69999981,6.03000021,4.78000021,1.190000057
2.799999952,1500,7.710000038,41.59999847,0.730000019,22.20000076,1.159999967,0.200000003,21.10000038,4.860000134,0.059999999,45.5,2.00999999,13.10000038,10.60000038,0.119999997,12.10000038,6.099999905,6.070000172,2.309999943
2.799999952,1518,6.929999828,42.09999847,0.639999986,22.5,1.029999971,0.159999996,22,4.070000172,0.07,46.59999847,1.74000001,13.30000019,9.529999733,0.129999995,13.89999962,6,5.610000134,2.089999914
2.799999952,1508,7.039999962,42.70000076,0.579999983,23.60000038,0.810000002,0.189999998,22.29999924,3.930000067,0.029999999,46.09999847,1.799999952,13.39999962,9.779999733,0.129999995,13.5,6,5.570000172,2.170000076
2.799999952,1511,6.869999886,42.70000076,0.540000021,23.89999962,0.860000014,0.159999996,23.10000038,3.730000019,0.050000001,46.5,1.720000029,13.19999981,9.43999958,0.119999997,13.89999962,6.03000021,6.039999962,2.069999933
2.400000095,1485,6.809999943,41.5,0.629999995,22.39999962,1.210000038,0.189999998,21.60000038,4.260000229,0.029999999,46.40000153,1.789999962,14.30000019,8.970000267,0.109999999,12.89999962,6.110000134,5.099999905,1.940000057
4.699999809,1750,12.23999977,42.70000076,0.140000001,20.18000031,,,21.5,2,0.079999998,37.40000153,0.569999993,3.130000114,30.20000076,,16.20000076,4.880000114,1.899999976,0.379999995
15,2300,3.160000086,49.47000122,0.079999998,14.90999985,0.639999986,0.059999999,30.48999977,1.870000005,0.100000001,44.91999817,0.230000004,4.260000229,9.069999695,0.140000001,35.18999863,4.150000095,0.379999995,
15,2300,3.269999981,49.40999985,0.050000001,13.53999996,0.600000024,0.079999998,30.52000046,1.899999976,0.090000004,44.08000183,0.209999993,4,8.760000229,0.159999996,35.13999939,4.110000134,0.349999994,0.02
15,2300,3.299999952,49.66999817,0.07,12.32999992,0.600000024,0.090000004,31.61000061,2.130000114,0.100000001,43.99000168,0.25,3.789999962,9.170000076,0.159999996,35.68999863,4.860000134,0.419999987,0.050000001
15,2300,3.190000057,49.43999863,0.050000001,13.81000042,0.560000002,0.079999998,30.89999962,1.840000033,0.079999998,44.52999878,0.239999995,2.920000076,8.890000343,0.150000006,35.88999939,4.03000021,0.419999987,0.02
3,1600,18.36000061,39,0.370000005,21.40999985,,0.430000007,9.18999958,9.340000153,0.079999998,54.63000107,1.389999986,12.69999981,9.670000076,0.159999996,2.890000105,8.789999962,2.519999981,
